object_id,object_name,category,mass_g,f_min_value,f_min_unit,f_min_semantics,f_min_single_finger_N,max_safe_force_N,safe_range_N,force_total_or_single,measurement_protocol,trial_count,trial_values,selected_value,gripper_model,sensor_model,calibration_id,unit,image_file,data_source,notes
E001,Black chocolate candy ball,刚体,11.0,0.25,N,total_two_finger_normal,0.125,1.25,1.0,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Black_chocolate_candy_ball.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=5.0"
E002,Pringles can,刚体,202.0,1.5,N,total_two_finger_normal,0.750,7.5,6.0,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Pringles_can.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=5.0"
E003,Spam canned meat,刚体,368.0,2.5,N,total_two_finger_normal,1.250,12.5,10.0,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Spam_canned_meat.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=5.0"
E004,Orange drinking straw,柔性,1.0,0.25,N,total_two_finger_normal,0.125,0.75,0.5,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Orange_drinking_straw.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=3.0"
E005,Small paper cup,柔性,2.0,0.25,N,total_two_finger_normal,0.125,0.75,0.5,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Small_paper_cup.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=3.0"
E006,Medium paper cup,柔性,11.0,0.25,N,total_two_finger_normal,0.125,0.75,0.5,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Medium_paper_cup.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=3.0"
E007,Medium plastic cup,柔性,10.0,0.25,N,total_two_finger_normal,0.125,0.75,0.5,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Medium_plastic_cup.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=3.0"
E008,Blueberry jam jar (Empty),易碎,145.0,0.75,N,total_two_finger_normal,0.375,1.5,0.75,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Blueberry_jam_jar_Empty.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=2.0"
E009,Small lime,柔性,42.0,0.5,N,total_two_finger_normal,0.250,1.5,1.0,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Small_lime.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=3.0"
E010,Supplement bottle: Fish oil,刚体,193.0,2.0,N,total_two_finger_normal,1.000,10.0,8.0,total,"自适应力控(0.25N起步,滑落收紧约2mm直至不滑); 每物体3次试验取中位数, 取整到0.25N; 举升5cm@0.5cm/s验证不滑(来源: 论文Sec III-A)",3,"官方未发布逐次原始值(仅中位数, 见notes)",median,LEGATO linkage-based two-finger gripper + FORTE fin-ray fingers (UT Austin),FORTE tactile fin-ray fingers (force+slip sensing),ExpForce_official_v1,N,Supplement_bottle_Fish_oil.png,"Exp-Force(UT Austin, arXiv:2603.08668)实测最小力; 最大力=类别系数x实测最小力","力值语义=两指总夹持力(论文原文: sum of the contact normal forces of two parallel gripper fingers); 单指力换算规则: F_single = F_total / 2 (不静默转换, 双列并存); k=5.0"
