Object,Image,Mass,Gripping Force
Black chocolate candy ball,Black_chocolate_candy_ball.png,11.0,0.25
Pringles can,Pringles_can.png,202.0,1.5
Spam canned meat,Spam_canned_meat.png,368.0,2.5
Orange drinking straw,Orange_drinking_straw.png,1.0,0.25
Small paper cup,Small_paper_cup.png,2.0,0.25
Medium paper cup,Medium_paper_cup.png,11.0,0.25
Medium plastic cup,Medium_plastic_cup.png,10.0,0.25
Blueberry jam jar (Empty),Blueberry_jam_jar_Empty.png,145.0,0.75
Small lime,Small_lime.png,42.0,0.5
Supplement bottle: Fish oil,Supplement_bottle_Fish_oil.png,193.0,2.0
Supplement bottle: CoQ10,Supplement_bottle_CoQ10.png,105.0,1.5
Seaweed snack package,Seaweed_snack_package.png,27.0,0.5
Marshmallow 1 (regular),Marshmallow_1_regular.png,6.0,0.25
Power adapter,Power_adapter.png,309.0,5.0
Tabletop mobile phone stand,Tabletop_mobile_phone_stand.png,154.0,2.0
Monster Energy drink (zero),Monster_Energy_drink_zero.png,489.0,1.75
Red Bull can (355 ml),Red_Bull_can_355_ml.png,385.0,2.5
Multivitamin bottle (One A Day),Multivitamin_bottle_One_A_Day.png,216.0,2.0
Green power bank,Green_power_bank.png,201.0,2.0
Roma tomato 1,Roma_tomato_1.png,89.0,2.0
Roma tomato 2,Roma_tomato_2.png,79.0,2.0
Grapefruit,Grapefruit.png,396.0,2.0
Lemon,Lemon.png,105.0,0.5
Apple (organic),Apple_organic.png,297.0,1.5
Yellow mini bell pepper (large),Yellow_mini_bell_pepper_large.png,45.0,1.0
Strawberry 1,Strawberry_1.png,41.0,0.5
Cara Cara orange 1,Cara_Cara_orange_1.png,162.0,1.5
Cara Cara orange 2,Cara_Cara_orange_2.png,168.0,1.5
Orange 1,Orange_1.png,237.0,1.5
Mandarin 2,Mandarin_2.png,96.0,1.0
Lime 2,Lime_2.png,74.0,1.0
Red grape 1,Red_grape_1.png,7.0,0.5
Red grape 2,Red_grape_2.png,9.0,0.5
Blue drinking straw,Blue_drinking_straw.png,1.0,0.25
Yellow drinking straw,Yellow_drinking_straw.png,1.0,0.25
Blackberry 2,Blackberry_2.png,4.0,0.25
White chocolate candy ball,White_chocolate_candy_ball.png,10.0,0.25
Pocky snack box (Long-edge orientation),Pocky_snack_box_Long-edge_orientation.png,88.0,1.0
Oreo Thin cookie pack,Oreo_Thin_cookie_pack.png,7.0,0.25
Single Pringles potato chip,Single_Pringles_potato_chip.png,2.0,0.25
Glass whiskey cup,Glass_whiskey_cup.png,278.0,1.5
H-E-B Texas steak seasoning,H-E-B_Texas_steak_seasoning.png,181.0,1.0
7UP Tropical soda (zero),7UP_Tropical_soda_zero.png,373.0,2.0
