object_id,f_min_label_N,f_max_label_N,label_source,is_measured,value_basis,evidence,f_max_basis,f_min_semantics,f_min_single_N,f_max_semantics,f_max_total_N,conversion_rule
FRA001,1.5,,ExpForce同型实测(Glass tumbler; f_min=1.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 文献参照: GraspSense玻璃高脚杯杯碗安全夹持69N(arXiv:2604.05697), 厚壁直筒杯更强",[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA002,1.5,69.0,同型转移(玻璃杯),0,近似转移,ExpForce同类参照: Glass tumbler 1.5N (薄壁差异) | GraspSense arXiv:2604.05697: 玻璃高脚杯杯碗69N; 薄壁玻璃杯近似采用; https://arxiv.org/html/2604.05697v1,"文献近似(GraspSense玻璃杯碗69N,薄壁直筒杯近似)",两指法向力之和,0.75,"夹持安全力(总/单指未确认,保守按合力)",69.0,F_single = F_total/2 (SAFETYVTLA默认)
FRA003,1.0,69.0,ExpForce同型实测(Wine glass; f_min=1.0N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | GraspSense arXiv:2604.05697: 玻璃高脚杯杯碗接触69N/杯茎接触565N; https://arxiv.org/html/2604.05697v1,文献实测(GraspSense玻璃高脚杯杯碗接触最大安全夹持力),两指法向力之和,0.5,"夹持安全力(总/单指未确认,保守按合力)",69.0,F_single = F_total/2 (SAFETYVTLA默认)
FRA004,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.75N(近似转移(玻璃空心器皿)),[0821删] 原估算值1.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA005,2.5,,同型转移(玻璃汽水瓶),0,近似转移,ExpForce同类参照: Glass Coca-Cola bottle 2.5N (满瓶) | 文献参照: 小玻璃瓶径向挤压>=1067N(Read Consulting 2010); https://readconsulting.com/glass-expert-discusses-glass-bottle-strength/,[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA006,0.75,,ExpForce同型实测(Blueberry jam jar (Empty); f_min=0.75N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值1.5N(两指法向力之和(估算)),两指法向力之和,0.375,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA007,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.75N(近似转移(薄壁玻璃器皿)),[0821删] 原估算值1.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA008,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(厚壁玻璃)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA009,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.0N(近似转移(薄壁玻璃饰品)),[0821删] 原估算值2.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA010,1.5,,ExpForce同型实测(Ceramic mug; f_min=1.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 文献参照: Pi0以5.8N平均力成功夹持陶瓷杯(94%成功率,CSDN 2026,安全下界非损伤阈值); https://blog.csdn.net/weixin_35459464/article/details/158020767",[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA011,1.5,,同型转移(陶瓷杯),0,近似转移,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA012,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷餐具)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA013,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷餐具)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA014,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷摆件)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA015,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷摆件)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA016,0.25,2.1,ExpForce同型实测(Medium paper cup; f_min=0.25N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 文献参照: 纸杯轴向抗压344-480N(上海质检院2026, 顶压堆叠语义, 非侧捏); https://m.gmw.cn/2026-02/10/content_1304338843.htm | GB/T 27590-2011 纸杯: <=250mL合格品>=2.10N/一等品>=2.60N/优等品>=3.00N; http://www.xktest.com/news/s57233.html","国标实测(杯身挺度,径向对压9.5mm变形,合格品下限)",两指法向力之和,0.125,单指法向力(双板对压),4.2,F_single = F_total/2 (SAFETYVTLA默认)
FRA017,,,未找到实测,0,未找到实测,"文献参照: 空罐侧壁整体屈曲635-985N(LS-DYNA), 局部凹陷阈值远低于此, 无实测凹陷值 | [0821删] 原近似转移值0.5N(近似转移(薄壁空心,待实测复核))",[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA018,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(薄壁空心壳)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
