image_file,leaf_class,category,l1_gate,object_id,object_family_id,mass_g,f_min_measured_N,f_max_measured_N,note
轻脆\E040\Single_Pringles_potato_chip.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s1.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s10.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s11.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s12.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s13.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s14.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s2.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s3.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s4.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s5.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s6.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
