============================================================
  训练结果报告
============================================================

训练轮数: 40
训练耗时: 155.7 秒
训练集大小: 180
测试集大小: 30

最佳测试集准确率: 100.00%
最终测试集力预测MAE: 0.837 N

各类别准确率:
  metal                (金属刚体      ): 100.0%
  hard_plastic         (硬塑料       ): 100.0%
  wood_paper           (木材纸板      ): 100.0%
  leather_textile      (皮革织物      ): 100.0%
  foam_soft            (软质泡沫      ): 100.0%
  fragile_glass        (玻璃陶瓷易碎品   ): 100.0%

每轮详细数据:
Epoch  TrainLoss  TrainAcc  TrainMAE  TestLoss  TestAcc  TestMAE
    1    18.9772    49.4%     3.543   19.3184   80.0%    2.910
    2     6.9335    73.3%     2.160    8.2957   83.3%    1.986
    3     4.3770    82.2%     1.800    3.9594   80.0%    1.408
    4     3.1815    93.3%     1.465    2.6223   93.3%    1.030
    5     3.2680    95.6%     1.539    1.2662   93.3%    0.859
    6     1.8728    97.8%     1.193    1.7988   96.7%    0.962
    7     2.5759    96.7%     1.344    6.5221   93.3%    1.797
    8     2.0603    95.6%     1.229    2.6417   93.3%    1.012
    9     2.0682    88.9%     1.212    2.1426   96.7%    0.985
   10     2.1148    97.2%     1.214    3.7208   96.7%    1.043
   11     1.4952    97.2%     1.027    2.2708   96.7%    0.967
   12     2.6277    93.9%     1.255    0.8658  100.0%    0.837
   13     2.6665    94.4%     1.319    2.1231  100.0%    1.111
   14     1.9719    95.6%     1.163    2.3479   96.7%    1.081
   15     2.4307    97.2%     1.219    2.5642  100.0%    1.032
   16     1.4736    97.2%     0.989    1.8600  100.0%    0.854
   17     1.4109    98.3%     1.000    3.3602   96.7%    1.093
   18     1.3761   100.0%     1.004    2.7317  100.0%    0.994
   19     1.3748    97.2%     0.990    2.4920   96.7%    0.829
   20     1.1186    99.4%     0.920    2.1806   93.3%    0.848
   21     1.1863    97.2%     0.878    2.4130   96.7%    0.879
   22     1.1829    98.9%     0.927    1.2494  100.0%    0.637
   23     1.1600    98.9%     0.863    1.7415   96.7%    0.791
   24     1.1724    99.4%     0.921    1.0666  100.0%    0.717
   25     1.3626    98.9%     0.864    2.1084   96.7%    0.752
   26     1.7519    96.7%     1.134    0.7132  100.0%    0.525
   27     0.9211    97.2%     0.805    2.3770   96.7%    0.830
   28     0.7844    96.7%     0.734    3.5637   96.7%    1.021
   29     1.0422    98.3%     0.854    3.7210   96.7%    0.885
   30     0.8722   100.0%     0.810    1.9556   96.7%    0.632
   31     0.7127    99.4%     0.711    1.8495   96.7%    0.695
   32     1.1199    98.9%     0.840    2.8077   96.7%    0.865
   33     0.8738    98.9%     0.824    2.8191   96.7%    0.748
   34     0.7023   100.0%     0.691    3.0421   96.7%    0.876
   35     1.1163    97.8%     0.835    2.5174   96.7%    0.761
   36     1.3914    97.8%     0.832    1.9222   96.7%    0.657
   37     1.0572    99.4%     0.837    3.4804   96.7%    0.979
   38     0.9140    98.9%     0.778    3.6904   96.7%    0.872
   39     0.7573    99.4%     0.725    2.2711   96.7%    0.668
   40     1.1951    99.4%     0.874    1.1078   96.7%    0.536
