双流网络(RGB+深度)训练结果报告
============================================================

训练轮数: 20
训练耗时: 250.7 秒
训练集: 180 | 测试集: 30

最佳测试集准确率: 100.00%
最终测试集力预测MAE: 0.710 N

各类别准确率:
  metal                (金属刚体): 100.0%
  hard_plastic         (硬塑料): 100.0%
  wood_paper           (木材纸板): 100.0%
  leather_textile      (皮革织物): 100.0%
  foam_soft            (软质泡沫): 100.0%
  fragile_glass        (玻璃陶瓷易碎品): 100.0%

每轮详细数据:
Epoch  TrainLoss  TrainAcc  TrainMAE  TestLoss  TestAcc  TestMAE
    1    14.0405    50.0%     3.121   81.4831   73.3%    9.261
    2     4.0362    79.4%     1.672   23.1106   86.7%    4.164
    3     4.0414    84.4%     1.622   22.0196   90.0%    4.107
    4     3.3911    88.3%     1.496    2.6154   93.3%    1.170
    5     3.1549    88.3%     1.472    3.5040   93.3%    1.550
    6     2.9234    87.8%     1.509    1.3576   93.3%    0.785
    7     2.4046    94.4%     1.322    1.3570   96.7%    0.875
    8     3.2161    93.9%     1.561    1.1532  100.0%    0.710
    9     2.9079    93.9%     1.419    3.3260   96.7%    1.563
   10     2.8635    96.1%     1.506    2.0203   96.7%    1.141
   11     1.7001    96.1%     1.102    0.9085  100.0%    0.758
   12     1.5787    96.1%     1.073    1.0302  100.0%    0.746
   13     1.4096    97.2%     1.017    0.7810  100.0%    0.664
   14     1.4893   100.0%     1.027    0.6470  100.0%    0.633
   15     1.2802    98.9%     0.995    0.4646  100.0%    0.555
   16     1.1762    98.9%     0.965    0.3243  100.0%    0.498
   17     1.1809    98.9%     0.956    1.4370  100.0%    1.041
   18     1.8529    96.7%     1.083    1.0426  100.0%    0.799
   19     1.5976    95.0%     1.019    0.8065  100.0%    0.646
   20     1.1824    99.4%     0.942    0.4345  100.0%    0.556
