物体          类别      图数      均值距离      最小距离    近重复对
E040        轻脆      15    0.1957    0.0691       0
E060        轻脆      15    0.3012    0.0490       0
E061        轻脆      15    0.3638    0.0974       0
FRA017      轻脆      14    0.2455    0.1252       0
FRA018      轻脆      15    0.3095    0.1065       0
FRA019      轻脆      15    0.2879    0.1243       0
FRA020      轻脆      15    0.2634    0.1460       0
FRA021      轻脆      15    0.2881    0.1336       0
FRA022      轻脆      15    0.2276    0.1431       0
FRA023      轻脆      15    0.2314    0.1187       0
FRA024      轻脆      15    0.3009    0.1501       0
FRA025      轻脆      15    0.3033    0.1402       0
FRA026      轻脆      15    0.3489    0.0952       0
FRA027      轻脆      15    0.2575    0.1639       0
FRA028      轻脆      15    0.2555    0.0973       0
FRA029      轻脆      15    0.2813    0.1330       0
FRA030      轻脆      15    0.2817    0.0640       0
FRA041      轻脆      15    0.2384    0.1096       0
FRA042      轻脆      15    0.2990    0.1258       0
FRA043      轻脆      15    0.2956    0.1156       0
FRA044      轻脆      15    0.2626    0.1113       0
FRA045      轻脆      15    0.2459    0.1347       0
FRA046      轻脆      15    0.1764    0.0817       0
FRA047      轻脆      14    0.2442    0.1227       0
FRA048      轻脆      15    0.3279    0.1958       0
FRA049      轻脆      15    0.2729    0.1617       0
FRA050      轻脆      14    0.2575    0.0568       0
FRA051      轻脆      15    0.2089    0.0498       0
FRA052      轻脆      15    0.2331    0.0930       0
FRA053      轻脆      15    0.2374    0.1548       0
FRA054      轻脆      15    0.2433    0.1338       0
FRA055      轻脆      15    0.2614    0.1067       0
FRA056      轻脆      15    0.3365    0.0496       0
FRA057      轻脆      15    0.3164    0.0827       0
FRA067      轻脆      15    0.2597    0.1493       0
FRA068      轻脆      15    0.3138    0.1285       0
FRA069      轻脆      15    0.2962    0.1708       0
FRA070      轻脆      15    0.2683    0.1517       0
FRA071      轻脆      15    0.2350    0.0968       0
FRA072      轻脆      15    0.2342    0.0611       0
E008        重脆      15    0.2873    0.0636       0
E041        重脆      15    0.3165    0.1034       0
E108        重脆      12    0.2666    0.1334       0
E116        重脆      14    0.2493    0.1103       0
E117        重脆      15    0.2889    0.1413       0
E118        重脆      15    0.3458    0.0710       0
E119        重脆      15    0.3349    0.0600       0
E120        重脆      15    0.2374    0.0871       0
FRA001      重脆      15    0.3064    0.0986       0
FRA002      重脆      15    0.2597    0.1350       0
FRA003      重脆      15    0.3303    0.1635       0
FRA004      重脆      14    0.3032    0.0968       0
FRA005      重脆       9    0.1993    0.0626       0
FRA006      重脆      15    0.3036    0.1644       0
FRA007      重脆      15    0.2480    0.0787       0
FRA008      重脆      15    0.3110    0.0658       0
FRA009      重脆      15    0.2492    0.0866       0
FRA010      重脆      15    0.2904    0.1591       0
FRA011      重脆      15    0.2914    0.1203       0
FRA012      重脆      15    0.2706    0.1429       0
FRA013      重脆      15    0.1396    0.0503       0
FRA014      重脆      15    0.3110    0.1086       0
FRA015      重脆      15    0.2827    0.0556       0
FRA031      重脆      15    0.2890    0.1540       0
FRA032      重脆      15    0.2976    0.0577       0
FRA033      重脆      15    0.3011    0.0702       0
FRA034      重脆      15    0.2527    0.0707       0
FRA035      重脆      15    0.2785    0.0812       0
FRA036      重脆      11    0.1682    0.0537       0
FRA037      重脆      15    0.2756    0.1167       0
FRA038      重脆      15    0.3210    0.0455       0
FRA058      重脆      15    0.2414    0.1557       0
FRA059      重脆      14    0.2277    0.0772       0
FRA060      重脆      15    0.3169    0.0797       0
FRA061      重脆      15    0.2228    0.0477       0
FRA062      重脆      15    0.3244    0.0825       0
FRA063      重脆      15    0.3230    0.0543       0
FRA064      重脆      15    0.2678    0.1595       0
FRA065      重脆      15    0.2654    0.1344       0
FRA066      重脆      15    0.3019    0.1306       0
E002        刚体      15    0.2830    0.0822       0
E003        刚体      15    0.2683    0.1099       0
E016        刚体      14    0.3418    0.0865       0
E017        刚体      15    0.2922    0.1233       0
E043        刚体      15    0.2950    0.1700       0
E044        刚体      15    0.3118    0.1467       0
E050        刚体      15    0.2364    0.0422       0
E052        刚体       2    0.2883    0.2883       0
E053        刚体      15    0.2641    0.0445       0
E058        刚体      13    0.3317    0.0656       0
E090        刚体      15    0.2427    0.1056       0
E091        刚体      15    0.2335    0.0927       0
E093        刚体      13    0.2876    0.1116       0
E095        刚体      15    0.2693    0.0826       0
E097        刚体      15    0.2860    0.1741       0
E098        刚体      15    0.2577    0.1038       0
E100        刚体      15    0.2862    0.1268       0
E101        刚体      14    0.2546    0.1169       0
E107        刚体      13    0.3465    0.1358       0
E110        刚体      15    0.2949    0.0823       0
E111        刚体      15    0.2552    0.0631       0
E112        刚体       7    0.3130    0.1106       0
E113        刚体      15    0.2575    0.1269       0
E121        刚体      15    0.2939    0.1284       0
E128        刚体      15    0.2622    0.0920       0
E129        刚体      15    0.2978    0.1341       0
YCB01       刚体      15    0.2301    0.0499       0
YCB02       刚体      15    0.2695    0.1080       0
YCB03       刚体      15    0.2792    0.0857       0
YCB04       刚体      15    0.2710    0.1134       0
YCB05       刚体      15    0.2003    0.0526       0
YCB06       刚体      15    0.2031    0.0632       0
YCB07       刚体      14    0.2129    0.0599       0
YCB08       刚体      13    0.1686    0.0613       0
YCB09       刚体      15    0.2951    0.0769       0
YCB10       刚体      12    0.3030    0.0619       0
YCB19       刚体      13    0.2493    0.0504       0
YCB20       刚体      13    0.1927    0.0515       0
E009        柔性      15    0.2916    0.1242       0
E020        柔性      15    0.2282    0.1282       0
E022        柔性      15    0.3012    0.1591       0
E023        柔性      15    0.3017    0.1378       0
E024        柔性      15    0.3206    0.1210       0
E025        柔性      15    0.3222    0.0590       0
E026        柔性      15    0.2500    0.0885       0
E027        柔性      15    0.2869    0.1169       0
E029        柔性      15    0.2727    0.0970       0
E030        柔性      15    0.2647    0.1082       0
E031        柔性      15    0.3144    0.1071       0
E032        柔性      15    0.2370    0.1571       0
E033        柔性      15    0.2551    0.1210       0
E036        柔性      15    0.2773    0.1608       0
E039        柔性       2    0.3355    0.3355       0
E048        柔性      15    0.2966    0.1192       0
E056        柔性      15    0.2385    0.1064       0
E064        柔性      15    0.2433    0.1117       0
E065        柔性      15    0.2595    0.1431       0
E066        柔性      15    0.2277    0.0489       0
E067        柔性      15    0.2723    0.1209       0
E068        柔性      15    0.2075    0.0751       0
E073        柔性      15    0.2703    0.1682       0
E074        柔性      15    0.3062    0.1356       0
E075        柔性      15    0.2734    0.1197       0
E077        柔性      15    0.2200    0.1216       0
