object_id,csv_family,refs,ref_unified_families,f_max_eval_basis
FRA001,glass_cup,E116,glass_cup,"文献实测换算(同族glass_cup族FRA002,取最小69.0N保守)"
FRA002,glass_cup,E041/E116,glass_cup,"文献实测换算(本物,69.0N两指合力)"
FRA003,glass_stemware,E119/E117/E118,glass_stemware,"文献实测换算(本物,69.0N两指合力)"
FRA005,glass_bottle,E108,glass_bottle,"类别系数占位(易碎x2),仅评gap上界,非实测"
FRA006,glass_bottle,E008,glass_bottle,"类别系数占位(易碎x2),仅评gap上界,非实测"
FRA010,ceramic_cup,E120,ceramic_cup,"类别系数占位(易碎x2),仅评gap上界,非实测"
FRA016,thin_wall_paper,E005/E006,medium_paper_cup/small_paper_cup,"文献实测换算(本物,4.2N两指合力)"
FRA019,brittle_snack,E040,brittle_snack,"文献实测换算(本物,4.8N两指合力)"
FRA024,egg,E060/E061,egg,"文献实测换算(本物,84.0N两指合力)"
FRA025,egg,E060/E061,egg,"文献实测换算(同型参照E060,84.0N两指合力)"
FRA032,glass_bottle,E008,glass_bottle,"类别系数占位(易碎x2),仅评gap上界,非实测"
FRA039,thin_wall_plastic,E007/E114,medium_plastic_cup/red_plastic_cup,"类别系数占位(柔性x3),仅评gap上界,非实测"
FRA048,brittle_snack,E038/E110,brittle_snack,"文献实测换算(同族brittle_snack族E040,取最小4.8N保守)"
FRA051,egg,E060/E061,egg,"文献实测换算(同型参照E060,84.0N两指合力)"
SOF001,fruit,E056,banana,"文献实测换算(同型参照E056,388.0N两指合力)"
SOF002,fruit,E029/E027/E028,orange,"文献实测换算(同型参照E029,326.0N两指合力)"
SOF003,fruit,E020/E021,tomato,"文献实测换算(同族tomato族E080,取最小42.84N保守)"
SOF004,fruit,E026/E073,strawberry,"文献实测换算(同型参照E026,0.6N两指合力)"
SOF005,fruit,E032/E033/E077/E078/E079,grape,"文献实测换算(同型参照E032,8.0N两指合力)"
SOF008,fruit,E023,lemon,"文献实测换算(同型参照E023,101.14N两指合力)"
SOF009,fruit,E080/E081/E082/E083/E084/E085,tomato,"文献实测换算(同型参照E080,42.84N两指合力)"
SOF013,vegetable,E025,bell_pepper,"类别系数占位(柔性x3),仅评gap上界,非实测"
SOF030,soft_food,E013/E048/E049/E122,marshmallow,"类别系数占位(柔性x3),仅评gap上界,非实测"
SOF031,fruit,E064,green_pear,"文献实测换算(同型参照E064,84.0N两指合力)"
SOF053,soft_food,E055,goodbye_stress_gummies,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG001,bottle_can,E044,diet_coke_can,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG004,bottle_can,E107,head_shoulders_shampoo_bottle,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG005,bottle_can,E003,spam_canned_meat,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG006,bottle_can,E095,tomato_soup_can,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG008,bottle_can,E002,pringles_can,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG013,tool,E052,magic_tape_roll,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG016,electronics,E019,green_power_bank,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG017,electronics,E050,tv_remote_control,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG024,bottle_can,E047,protein_shaker_bottle,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG025,bottle_can,E105,clorox_toilet_bleach_cleaner_bottle,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG049,daily_rigid,E128,umbrella,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG054,food_packaged,E093,yellow_mustard_bottle,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG055,food_packaged,E111,granulated_sugar,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG057,food_packaged,E090/E091,cheezit_crackers_box/muffin_mix_box,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG058,food_packaged,E095,tomato_soup_can,"类别系数占位(刚体x5),仅评gap上界,非实测"
RIG059,food_packaged,E090/E091,cheezit_crackers_box/muffin_mix_box,"类别系数占位(刚体x5),仅评gap上界,非实测"
