object_id,object_family_id,object_name,material_class,mass_kg,dimensions_m,fragile_flag,deformable_flag,source,notes,f_min_value,f_min_unit,f_min_semantics,force_total_or_single,measurement_protocol,trial_count,trial_values,selected_value,gripper_model,sensor_model,calibration_id
FRA001,glass_cup,玻璃水杯(厚壁直筒),玻璃,,,1,0,超市/家里,"深度图可能空洞,拍两种光照",,,,,,,,,,,
FRA002,glass_cup,玻璃水杯(薄壁),玻璃,,,1,0,超市,"薄壁,避免强反光",,,,,,,,,,,
FRA003,glass_stemware,红酒杯(高脚),玻璃,,,1,0,超市/家里,"杯壁极薄,柄细易断",,,,,,,,,,,
FRA004,glass_tableware,玻璃茶壶(带滤芯),玻璃,,,1,0,淘宝,,,,,,,,,,,,
FRA005,glass_bottle,玻璃汽水瓶(空),玻璃,,,1,0,超市(喝完留瓶),买饮料送采集物,,,,,,,,,,,
FRA006,glass_bottle,"玻璃蜂蜜罐(空,带盖)",玻璃,,,1,0,超市,蜂蜜吃完即得,,,,,,,,,,,
FRA007,glass_decor,玻璃花瓶(小号),玻璃,,,1,0,淘宝,,,,,,,,,,,,
FRA008,glass_decor,玻璃相框(小),玻璃/木,,,1,0,家里/淘宝,,,,,,,,,,,,
FRA009,glass_decor,玻璃圣诞彩球,玻璃(薄壳),,,1,0,淘宝(节前),"极薄壳,节令品提前买",,,,,,,,,,,
FRA010,ceramic_cup,陶瓷马克杯,陶瓷,,,1,0,家里/超市,,,,,,,,,,,,
FRA011,ceramic_cup,陶瓷茶杯(薄壁),陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA012,ceramic_bowl,陶瓷饭碗,陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA013,ceramic_bowl,瓷盘(小菜盘),陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA014,ceramic_decor,陶瓷小摆件(动物),陶瓷,,,1,0,淘宝,,,,,,,,,,,,
FRA015,ceramic_decor,陶瓷存钱罐,陶瓷,,,1,0,淘宝,,,,,,,,,,,,
FRA016,thin_wall_paper,纸杯(单个),纸,,,1,0,超市(整袋),对齐ExpForce易碎:0.5N即压瘪,,,,,,,,,,,
FRA017,thin_wall_metal,空易拉罐(铝),金属薄壁,,,1,0,超市(喝完留罐),易瘪不可恢复,,,,,,,,,,,
FRA018,thin_wall_plastic,乒乓球,塑料薄壳,,,1,0,文具/超市,瘪后不可恢复,,,,,,,,,,,
FRA019,brittle_snack,袋装整片薯片(未开封),食品,,,1,0,超市,选整片不碎的品相,,,,,,,,,,,
FRA020,brittle_snack,薄脆饼干(盒装),食品,,,1,0,超市,,,,,,,,,,,,
FRA021,brittle_snack,蛋卷(罐装),食品,,,1,0,超市,,,,,,,,,,,,
FRA022,brittle_snack,干脆面(整块未捏碎),食品,,,1,0,超市,,,,,,,,,,,,
FRA023,brittle_snack,蛋挞(带托),食品,,,1,0,烘焙店,当天买当天拍,,,,,,,,,,,
FRA024,egg,生鸡蛋,蛋壳,,,1,0,超市,全项目标志物;力测量时垫托防污,,,,,,,,,,,
FRA025,egg,皮蛋,蛋壳,,,1,0,超市,,,,,,,,,,,,
FRA026,natural_brittle,薄壳核桃(带壳),天然壳,,,1,0,超市,,,,,,,,,,,,
FRA027,natural_brittle,挂面(整束竖放),面制品,,,1,0,超市,,,,,,,,,,,,
FRA028,brittle_stationery,粉笔(整盒),石膏,,,1,0,文具,,,,,,,,,,,,
FRA029,brittle_stationery,蜡烛(柱状),蜡,,,1,0,超市/淘宝,,,,,,,,,,,,
FRA030,brittle_stationery,石膏小摆件,石膏,,,1,0,淘宝,,,,,,,,,,,,
FRA031,glass_cup,玻璃咖啡杯(双层),玻璃,,,1,0,超市,,,,,,,,,,,,
FRA032,glass_bottle,"玻璃酱菜瓶(空,带盖)",玻璃,,,1,0,超市,,,,,,,,,,,,
FRA033,glass_decor,玻璃烛台,玻璃,,,1,0,淘宝,,,,,,,,,,,,
FRA034,ceramic_cup,陶瓷咖啡杯带碟,陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA035,ceramic_bowl,陶瓷汤碗(大),陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA036,ceramic_bowl,瓷碟(酱油碟),陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA037,ceramic_tableware,陶瓷勺(大汤勺),陶瓷,,,1,0,家里,,,,,,,,,,,,
FRA038,ceramic_decor,瓷娃娃摆件,陶瓷,,,1,0,淘宝,,,,,,,,,,,,
FRA039,thin_wall_plastic,薄壁塑料杯(一次性),塑料薄壁,,,1,0,超市,,,,,,,,,,,,
FRA040,thin_wall_plastic,"透明蛋盒(空,装6蛋)",塑料薄壁,,,1,0,超市(留盒),买蛋送盒,,,,,,,,,,,
FRA041,brittle_snack,曲奇饼干(盒装),食品,,,1,0,超市,,,,,,,,,,,,
FRA042,brittle_snack,威化饼(条装),食品,,,1,0,超市,,,,,,,,,,,,
FRA043,brittle_snack,锅巴(袋装),食品,,,1,0,超市,,,,,,,,,,,,
FRA044,brittle_snack,沙琪玛,食品,,,1,0,超市,,,,,,,,,,,,
FRA045,brittle_snack,传统五仁月饼,食品,,,1,0,超市(中秋前),节令品提前买,,,,,,,,,,,
FRA046,brittle_snack,麻花,食品,,,1,0,超市,,,,,,,,,,,,
FRA047,brittle_snack,桃酥,食品,,,1,0,超市,,,,,,,,,,,,
FRA048,brittle_snack,Pocky饼干棒(盒装),食品,,,1,0,超市,,,,,,,,,,,,
FRA049,brittle_snack,米花糖/米通,食品,,,1,0,超市,,,,,,,,,,,,
FRA050,brittle_snack,硬糖(大块薄荷糖),食品,,,1,0,超市,,,,,,,,,,,,
FRA051,egg,咸鸭蛋(生),蛋壳,,,1,0,超市,,,,,,,,,,,,
FRA052,natural_brittle,干辣椒(整条扎把),干制蔬菜,,,1,0,超市/菜市场,,,,,,,,,,,,
FRA053,natural_brittle,干香菇(整朵),干菌,,,1,0,超市,,,,,,,,,,,,
FRA054,natural_brittle,粉丝(整捆),淀粉丝,,,1,0,超市,,,,,,,,,,,,
FRA055,natural_brittle,干花(一支),干燥植物,,,1,0,淘宝/花店,,,,,,,,,,,,
FRA056,egg,空蛋壳(掏空完整),蛋壳,,,1,0,自制,生蛋敲小孔吹出内容物,,,,,,,,,,,
FRA057,brittle_stationery,蜡笔/油画棒(盒),蜡,,,1,0,文具,,,,,,,,,,,,
FRA058,ceramic_tableware,陶瓷筷子架,陶瓷,,,1,0,淘宝,,,,,,,,,,,,
FRA059,brittle_stationery,薄瓷片/瓷砖样品,陶瓷,,,1,0,淘宝/建材,,,,,,,,,,,,
FRA060,glass_decor,玻璃弹珠(整罐),玻璃,,,1,0,淘宝/文具,,,,,,,,,,,,
SOF001,fruit,香蕉,水果,,,0,1,超市,对齐ExpForce柔性,,,,,,,,,,,
SOF002,fruit,橙子,水果,,,0,1,超市,,,,,,,,,,,,
SOF003,fruit,番茄,水果,,,0,1,超市,,,,,,,,,,,,
SOF004,fruit,草莓,水果,,,0,1,超市,选硬挺品相,,,,,,,,,,,
SOF005,fruit,葡萄(整串),水果,,,0,1,超市,,,,,,,,,,,,
SOF006,fruit,猕猴桃,水果,,,0,1,超市,,,,,,,,,,,,
SOF007,fruit,牛油果,水果,,,0,1,超市,,,,,,,,,,,,
SOF008,fruit,柠檬,水果,,,0,1,超市,,,,,,,,,,,,
SOF009,fruit,圣女果,水果,,,0,1,超市,,,,,,,,,,,,
SOF010,fruit,桃子,水果,,,0,1,超市,,,,,,,,,,,,
SOF011,vegetable,生玉米,蔬菜,,,0,1,超市/菜市场,,,,,,,,,,,,
SOF012,vegetable,西兰花,蔬菜,,,0,1,超市,,,,,,,,,,,,
SOF013,vegetable,青椒,蔬菜,,,0,1,超市,,,,,,,,,,,,
SOF014,vegetable,生蘑菇(整朵),菌菇,,,0,1,超市,,,,,,,,,,,,
SOF015,bakery,吐司面包(整条),烘焙面点,,,0,1,超市,,,,,,,,,,,,
SOF016,bakery,贝果,烘焙面点,,,0,1,烘焙店,,,,,,,,,,,,
SOF017,bakery,纸杯蛋糕,烘焙面点,,,0,1,烘焙店,,,,,,,,,,,,
SOF018,bakery,馒头,主食,,,0,1,超市/主食店,,,,,,,,,,,,
SOF019,bakery,麻薯,烘焙面点,,,0,1,超市,,,,,,,,,,,,
